car_id,brand,model,year,kms_driven,fuel_type,transmission,owner_type,mileage,engine,power,seats,location,price
1000,Volkswagen,Polo,2005,82097,Petrol,Manual,First,19.5,998,82,7,Pune,1.5
1001,Ford,EcoSport,2018,18331,Petrol,Manual,First,22.6,1197,80,7,Hyderabad,6.72
1002,Maruti,Dzire,2011,119974,Petrol,Automatic,Third,22.7,1497,100,4,Kolkata,1.5
1003,Mahindra,XUV500,2018,99194,Diesel,Manual,First,19.6,1497,76,4,Delhi,4.98
1004,Toyota,Innova,2016,100165,CNG,Automatic,First,18.7,1598,47,7,Delhi,4.03
1005,Toyota,Innova,2022,86854,CNG,Automatic,Third,16.3,1197,65,7,Delhi,6.72
1006,Maruti,Dzire,2012,85861,Petrol,Manual,First,15.3,1598,57,5,Chennai,3.82
1007,Volkswagen,Vento,2010,107040,Diesel,Manual,Third,17.3,1497,86,7,Pune,1.5
1008,Volkswagen,Polo,2010,74175,Petrol,Automatic,Second,16.4,1497,87,7,Pune,1.94
1009,Ford,EcoSport,2015,24663,Petrol,Manual,Second,19.1,1598,73,5,Delhi,4.86
1010,Hyundai,Verna,2015,65738,CNG,Automatic,Second,16.2,1598,122,4,Bangalore,4.68
1011,Hyundai,i10,2022,78876,CNG,Automatic,Third,14.8,1598,101,5,Mumbai,6.11
1012,Hyundai,Verna,2020,33831,Petrol,Manual,First,18.6,1197,46,7,Chennai,6.66
1013,Ford,EcoSport,2017,110039,CNG,Automatic,Third,18.6,1497,100,7,Kolkata,4.18
1014,Maruti,Dzire,2008,79946,CNG,Automatic,First,17.7,1497,79,5,Mumbai,1.5
1015,Toyota,Innova,2013,141225,Petrol,Manual,Third,15.8,1497,76,7,Hyderabad,1.9
1016,Ford,EcoSport,2009,108019,Petrol,Manual,Third,19.0,1497,50,5,Delhi,1.5
1017,Maruti,Baleno,2014,72770,Petrol,Manual,Third,16.8,998,71,4,Pune,3.45
1018,Toyota,Innova,2022,42967,Petrol,Automatic,Third,21.1,1197,104,5,Hyderabad,7.02
1019,Mahindra,TUV300,2018,65521,CNG,Manual,Third,17.1,1497,92,5,Pune,5.38
1020,Volkswagen,Vento,2019,145679,Diesel,Manual,First,16.6,1197,81,4,Bangalore,4.13
1021,Maruti,Dzire,2022,70323,CNG,Manual,First,14.4,998,101,7,Pune,8.07
1022,Maruti,Swift,2007,18234,Diesel,Manual,Third,17.8,1197,105,5,Pune,1.62
1023,Toyota,Innova,2022,44684,CNG,Automatic,First,16.1,1598,92,5,Mumbai,9.18
1024,Maruti,Swift,2018,102876,Diesel,Automatic,Second,17.9,998,116,7,Pune,3.83
1025,Volkswagen,Polo,2006,115544,CNG,Automatic,First,20.5,1197,87,4,Mumbai,1.5
1026,Ford,Figo,2009,120593,Petrol,Automatic,Second,18.3,1197,45,4,Chennai,1.5
